umidade_solo,declividade,chuva_24h,temperatura,velocidade,idade_maquina,horas_operacao,status_operacao,score_risco,risco,recomendacao
46.55,23.83,9.26,39.05,18.64,12.43,14.0,Colheita,77.03,ALTO,Atencao a inclinacao - reduzir velocidade
22.75,8.77,3.07,26.67,6.7,7.12,6.91,Colheita,6.29,BAIXO,Seguir rota atual
14.5,2.68,0.0,28.54,4.79,0.0,5.78,Colheita,1.78,BAIXO,Seguir rota atual
54.96,21.98,24.71,40.25,14.7,14.76,9.42,Colheita,73.66,ALTO,Verificar equipamento - desgaste elevado
41.6,22.97,12.66,42.98,14.48,9.73,11.07,Colheita,57.55,ALTO,Pausa recomendada - risco de fadiga
34.61,22.08,17.93,43.26,16.42,11.92,11.64,Manobra,62.73,ALTO,Atencao a inclinacao - reduzir velocidade
48.34,23.67,18.08,36.06,11.8,11.08,8.78,Deslocamento,75.02,ALTO,Interromper operacao
18.69,8.23,5.59,25.65,7.97,5.19,1.05,Deslocamento,2.77,BAIXO,Seguir rota atual
27.49,19.42,1.95,38.4,16.59,11.66,8.57,Deslocamento,47.23,MEDIO,Atencao a inclinacao - reduzir velocidade
30.44,8.59,2.99,22.93,6.4,3.84,5.34,Colheita,8.46,BAIXO,Seguir rota atual
50.8,27.01,49.37,45.0,25.8,9.55,8.0,Deslocamento,74.29,ALTO,Atencao a inclinacao - reduzir velocidade
45.61,17.9,16.2,36.49,9.59,13.62,11.52,Manobra,70.37,ALTO,Pausa recomendada - risco de fadiga
15.96,0.0,2.36,27.96,4.04,5.55,4.97,Manobra,4.5,BAIXO,Seguir rota atual
24.06,8.48,1.08,31.98,6.68,4.92,3.13,Manobra,0.06,BAIXO,Seguir rota atual
16.9,4.46,3.48,34.56,4.26,0.16,7.94,Manobra,0.0,BAIXO,Seguir rota atual
18.53,5.32,7.12,22.97,10.65,7.03,4.02,Colheita,9.56,BAIXO,Seguir rota atual
52.94,20.18,23.94,40.9,18.91,16.68,10.06,Colheita,76.49,ALTO,Atencao a inclinacao - reduzir velocidade
35.48,23.38,12.58,46.04,15.41,10.9,10.37,Colheita,73.75,ALTO,Atencao a inclinacao - reduzir velocidade
43.26,24.09,57.0,41.03,17.81,15.61,14.0,Colheita,73.82,ALTO,Atencao a inclinacao - reduzir velocidade
40.75,23.98,4.22,30.31,16.5,7.03,8.5,Colheita,38.12,MEDIO,Atencao a inclinacao - reduzir velocidade
29.3,10.22,5.37,36.83,5.71,7.78,5.11,Colheita,5.13,BAIXO,Seguir rota atual
41.61,26.59,22.06,41.61,18.22,10.91,8.32,Deslocamento,75.72,ALTO,Atencao a inclinacao - reduzir velocidade
33.73,16.1,34.45,36.69,14.34,11.17,10.61,Manobra,45.56,MEDIO,Pausa recomendada - risco de fadiga
41.53,23.44,5.08,35.33,12.85,7.25,12.21,Deslocamento,34.65,MEDIO,Pausa recomendada - risco de fadiga
42.95,24.2,23.3,43.52,15.54,8.11,10.8,Manobra,54.29,ALTO,Atencao a inclinacao - reduzir velocidade
29.79,17.89,10.93,40.95,12.06,8.93,12.4,Colheita,40.3,MEDIO,Pausa recomendada - risco de fadiga
36.93,28.0,10.83,28.96,14.26,9.14,11.58,Colheita,72.14,ALTO,Interromper operacao
40.39,19.45,1.88,35.16,9.45,6.26,10.18,Deslocamento,30.25,MEDIO,Pausa recomendada - risco de fadiga
31.69,9.58,0.41,28.22,9.39,3.17,4.73,Colheita,14.61,BAIXO,Seguir rota atual
20.1,4.86,5.94,25.4,7.84,2.34,4.13,Colheita,1.2,BAIXO,Seguir rota atual
25.06,6.51,9.18,24.0,7.45,7.8,2.16,Colheita,5.59,BAIXO,Seguir rota atual
29.44,17.42,28.1,38.34,22.67,10.31,10.37,Colheita,75.33,ALTO,Atencao a inclinacao - reduzir velocidade
30.79,16.02,10.18,32.04,9.05,6.78,6.56,Deslocamento,17.35,BAIXO,Seguir rota atual
30.59,16.73,7.98,35.32,10.64,10.09,10.91,Colheita,38.72,MEDIO,Pausa recomendada - risco de fadiga
50.44,30.0,33.58,42.42,19.13,8.4,11.83,Deslocamento,72.04,ALTO,Atencao a inclinacao - reduzir velocidade
19.15,14.05,5.89,20.88,10.71,8.66,6.16,Deslocamento,8.63,BAIXO,Seguir rota atual
33.19,16.16,6.14,40.35,17.65,12.63,8.02,Colheita,44.77,MEDIO,Atencao a inclinacao - reduzir velocidade
33.28,22.42,3.85,40.97,14.56,10.6,6.81,Colheita,45.6,MEDIO,Reduzir velocidade
23.6,5.87,0.49,15.0,6.94,10.32,8.32,Colheita,20.24,BAIXO,Seguir rota atual
16.8,5.59,5.41,21.01,7.6,7.3,7.45,Colheita,7.14,BAIXO,Seguir rota atual
19.3,7.19,1.37,21.87,6.55,6.1,6.83,Deslocamento,3.87,BAIXO,Seguir rota atual
14.38,13.97,3.19,25.89,5.51,0.0,6.77,Deslocamento,6.39,BAIXO,Seguir rota atual
53.68,26.16,45.67,44.55,15.75,12.41,13.59,Manobra,75.32,ALTO,Atencao a inclinacao - reduzir velocidade
32.47,22.88,7.15,41.4,14.89,7.15,12.33,Colheita,45.8,MEDIO,Pausa recomendada - risco de fadiga
35.59,19.57,19.6,43.45,11.95,12.19,10.86,Deslocamento,65.41,ALTO,Pausa recomendada - risco de fadiga
53.47,27.53,41.33,40.52,22.34,10.78,8.0,Deslocamento,74.89,ALTO,Atencao a inclinacao - reduzir velocidade
42.62,24.71,0.0,36.97,16.86,18.17,10.04,Deslocamento,44.85,MEDIO,Atencao a inclinacao - reduzir velocidade
14.9,7.27,8.12,22.77,5.4,3.55,3.09,Deslocamento,0.79,BAIXO,Seguir rota atual
50.61,30.0,48.23,42.24,20.83,9.31,13.77,Deslocamento,71.75,ALTO,Atencao a inclinacao - reduzir velocidade
34.38,19.28,23.97,37.2,9.74,6.72,11.3,Deslocamento,37.21,MEDIO,Pausa recomendada - risco de fadiga
40.68,17.69,25.35,38.0,20.62,15.24,9.11,Manobra,68.63,ALTO,Atencao a inclinacao - reduzir velocidade
56.41,27.2,53.53,44.45,18.61,12.07,14.0,Colheita,77.66,ALTO,Atencao a inclinacao - reduzir velocidade
17.66,6.39,1.13,28.12,11.13,1.8,5.05,Deslocamento,11.74,BAIXO,Seguir rota atual
29.89,7.68,5.36,20.69,7.86,4.44,6.97,Colheita,4.65,BAIXO,Seguir rota atual
28.31,18.36,5.74,27.63,7.39,3.94,5.68,Colheita,7.76,BAIXO,Seguir rota atual
32.64,20.67,14.59,31.97,15.42,11.95,8.76,Manobra,57.76,ALTO,Atencao a inclinacao - reduzir velocidade
27.27,20.18,28.38,39.93,12.0,10.49,11.68,Manobra,59.07,ALTO,Pausa recomendada - risco de fadiga
52.73,26.28,41.33,41.82,18.31,18.85,11.36,Colheita,76.29,ALTO,Atencao a inclinacao - reduzir velocidade
28.52,14.09,6.99,23.84,7.81,4.93,3.19,Colheita,5.02,BAIXO,Seguir rota atual
37.59,15.28,13.94,34.14,12.6,8.85,8.48,Colheita,37.4,MEDIO,Reduzir velocidade
39.69,18.1,12.36,30.62,12.38,13.82,7.0,Deslocamento,45.06,MEDIO,Reduzir velocidade
15.26,10.06,4.54,27.75,7.98,6.9,7.22,Manobra,3.76,BAIXO,Seguir rota atual
22.87,7.03,6.02,35.5,6.73,2.08,7.21,Manobra,3.93,BAIXO,Seguir rota atual
19.16,0.0,6.54,23.32,6.82,6.0,5.38,Deslocamento,5.81,BAIXO,Seguir rota atual
53.55,25.69,50.13,42.22,24.96,15.85,10.13,Colheita,80.69,ALTO,Atencao a inclinacao - reduzir velocidade
27.6,5.86,6.42,27.84,10.68,4.33,4.3,Deslocamento,7.2,BAIXO,Seguir rota atual
34.84,18.79,12.0,29.53,8.84,4.8,10.9,Colheita,36.79,MEDIO,Reduzir velocidade
50.26,21.69,16.65,40.21,18.49,9.22,10.48,Manobra,71.64,ALTO,Atencao a inclinacao - reduzir velocidade
42.8,22.0,8.95,40.0,3.89,10.03,7.69,Manobra,40.18,MEDIO,Reduzir velocidade
40.85,28.53,58.74,42.59,25.81,18.84,14.0,Deslocamento,74.82,ALTO,Atencao a inclinacao - reduzir velocidade
58.2,29.23,45.75,38.19,21.02,11.47,14.0,Colheita,73.11,ALTO,Atencao a inclinacao - reduzir velocidade
18.77,8.49,5.65,26.22,10.39,3.13,5.39,Colheita,11.28,BAIXO,Seguir rota atual
29.06,14.72,4.94,35.85,10.71,5.92,6.19,Colheita,13.49,BAIXO,Seguir rota atual
19.42,1.98,6.28,26.41,4.08,4.07,3.5,Manobra,5.33,BAIXO,Seguir rota atual
22.23,13.36,0.0,26.58,6.68,7.01,5.43,Colheita,4.41,BAIXO,Seguir rota atual
14.74,6.72,1.61,31.38,7.04,10.7,4.88,Colheita,10.82,BAIXO,Seguir rota atual
35.75,17.46,3.57,35.25,15.8,13.53,6.84,Deslocamento,32.83,MEDIO,Atencao a inclinacao - reduzir velocidade
42.16,18.07,8.73,42.45,14.69,7.19,7.22,Manobra,35.25,MEDIO,Reduzir velocidade
5.0,5.12,3.37,21.06,6.74,5.23,4.55,Colheita,3.78,BAIXO,Seguir rota atual
15.45,8.67,5.33,20.55,9.82,4.7,5.04,Manobra,3.09,BAIXO,Seguir rota atual
53.54,27.7,54.53,43.86,19.55,15.08,9.71,Manobra,73.66,ALTO,Atencao a inclinacao - reduzir velocidade
20.76,7.87,3.38,25.36,3.24,3.35,5.19,Manobra,3.34,BAIXO,Seguir rota atual
21.12,3.89,7.8,21.67,8.94,6.28,3.71,Colheita,6.22,BAIXO,Seguir rota atual
49.2,15.23,12.6,40.0,9.99,12.18,8.5,Colheita,73.13,ALTO,Interromper operacao
51.44,27.78,43.66,45.0,25.17,8.75,14.0,Colheita,75.29,ALTO,Atencao a inclinacao - reduzir velocidade
8.36,12.13,7.38,20.55,6.18,1.68,4.57,Colheita,4.29,BAIXO,Seguir rota atual
38.15,24.34,28.48,44.19,13.31,11.37,6.63,Colheita,56.05,ALTO,Interromper operacao
35.16,24.89,30.92,36.3,13.22,11.92,10.56,Deslocamento,53.4,ALTO,Pausa recomendada - risco de fadiga
14.33,9.7,2.58,25.93,8.09,5.02,4.13,Colheita,3.38,BAIXO,Seguir rota atual
39.34,21.73,15.04,39.22,19.8,13.68,9.41,Manobra,65.38,ALTO,Atencao a inclinacao - reduzir velocidade
40.58,18.66,13.87,37.48,11.68,9.34,5.86,Colheita,37.56,MEDIO,Reduzir velocidade
33.24,18.42,19.14,45.2,21.69,13.91,11.0,Deslocamento,76.64,ALTO,Atencao a inclinacao - reduzir velocidade
29.19,20.37,11.7,38.14,14.5,10.58,6.04,Manobra,43.72,MEDIO,Reduzir velocidade
40.98,15.71,9.2,43.0,9.24,0.41,8.43,Manobra,29.25,MEDIO,Reduzir velocidade
27.71,15.83,0.31,28.48,6.07,4.68,9.0,Manobra,16.32,BAIXO,Seguir rota atual
42.49,27.76,49.68,45.0,22.39,14.92,11.22,Manobra,77.81,ALTO,Atencao a inclinacao - reduzir velocidade
21.88,6.63,5.86,24.15,7.75,4.91,7.25,Manobra,4.83,BAIXO,Seguir rota atual
19.64,0.91,7.79,21.47,5.69,3.21,7.75,Colheita,3.53,BAIXO,Seguir rota atual
5.05,20.0,7.17,27.12,6.89,5.86,6.04,Deslocamento,9.1,BAIXO,Seguir rota atual
40.16,22.22,8.45,35.21,11.55,7.42,11.27,Colheita,36.74,MEDIO,Pausa recomendada - risco de fadiga
43.56,13.18,23.25,40.58,14.94,10.83,12.25,Colheita,55.59,ALTO,Pausa recomendada - risco de fadiga
26.63,4.91,5.22,21.14,4.24,3.12,6.72,Colheita,0.24,BAIXO,Seguir rota atual
42.63,22.05,11.63,38.06,10.08,9.3,10.6,Colheita,51.86,ALTO,Pausa recomendada - risco de fadiga
25.28,12.76,6.12,27.76,9.14,4.92,3.24,Colheita,2.73,BAIXO,Seguir rota atual
39.02,19.77,12.6,39.57,12.62,11.08,6.21,Colheita,55.41,ALTO,Interromper operacao
21.49,8.0,1.55,29.3,8.88,0.18,3.47,Colheita,3.52,BAIXO,Seguir rota atual
35.39,19.18,24.64,39.42,14.21,5.99,11.27,Manobra,57.96,ALTO,Pausa recomendada - risco de fadiga
25.09,20.24,9.39,41.44,8.07,0.0,9.37,Colheita,27.04,MEDIO,Reduzir velocidade
59.0,30.0,47.1,41.53,25.23,11.08,12.95,Manobra,74.5,ALTO,Atencao a inclinacao - reduzir velocidade
23.54,12.24,12.28,27.96,5.98,4.92,1.46,Colheita,13.04,BAIXO,Seguir rota atual
15.14,6.36,2.43,26.76,5.36,8.36,5.0,Manobra,4.26,BAIXO,Seguir rota atual
19.93,6.69,4.47,30.13,5.27,3.03,4.39,Manobra,5.77,BAIXO,Seguir rota atual
43.27,24.54,40.24,45.0,23.05,14.58,13.7,Manobra,80.1,ALTO,Atencao a inclinacao - reduzir velocidade
49.31,28.17,43.97,43.8,19.67,8.0,11.73,Manobra,72.61,ALTO,Atencao a inclinacao - reduzir velocidade
29.96,11.7,6.9,32.18,7.18,5.59,3.76,Colheita,3.8,BAIXO,Seguir rota atual
38.1,23.85,27.63,39.58,13.65,12.0,11.2,Manobra,64.46,ALTO,Pausa recomendada - risco de fadiga
31.34,15.11,13.6,36.34,13.48,11.56,9.09,Manobra,40.09,MEDIO,Reduzir velocidade
46.62,21.31,9.5,38.49,8.58,11.12,8.85,Manobra,71.38,ALTO,Interromper operacao
40.36,15.71,0.23,39.27,13.13,5.29,7.26,Deslocamento,31.76,MEDIO,Reduzir velocidade
27.88,3.24,8.93,21.5,8.28,4.01,6.21,Colheita,5.08,BAIXO,Seguir rota atual
16.19,7.35,4.12,20.99,8.48,3.46,4.54,Manobra,5.24,BAIXO,Seguir rota atual
45.03,19.31,43.09,45.0,25.14,13.94,11.47,Colheita,75.25,ALTO,Atencao a inclinacao - reduzir velocidade
50.11,28.64,33.19,45.0,24.86,16.15,12.88,Deslocamento,74.69,ALTO,Atencao a inclinacao - reduzir velocidade
40.12,24.02,22.73,38.94,13.28,12.31,13.1,Colheita,67.54,ALTO,Pausa recomendada - risco de fadiga
11.33,2.13,4.49,26.25,7.35,5.73,4.55,Manobra,3.01,BAIXO,Seguir rota atual
30.43,1.6,1.51,25.48,3.71,4.47,8.32,Colheita,18.59,BAIXO,Seguir rota atual
40.13,22.69,7.92,38.15,13.87,11.05,12.56,Colheita,55.33,ALTO,Pausa recomendada - risco de fadiga
52.79,23.67,47.47,44.49,26.56,18.74,9.97,Deslocamento,78.92,ALTO,Atencao a inclinacao - reduzir velocidade
45.95,23.23,42.66,44.4,25.95,13.77,11.36,Manobra,77.94,ALTO,Atencao a inclinacao - reduzir velocidade
40.91,19.49,34.72,35.18,15.55,18.07,10.01,Deslocamento,52.41,ALTO,Atencao a inclinacao - reduzir velocidade
38.86,20.93,16.56,44.12,8.36,16.6,7.15,Colheita,41.62,MEDIO,Reduzir velocidade
18.13,6.28,5.77,18.01,7.92,11.07,2.27,Colheita,11.16,BAIXO,Seguir rota atual
21.33,5.35,5.28,26.1,5.72,6.46,8.61,Deslocamento,9.87,BAIXO,Seguir rota atual
49.05,29.16,32.07,40.13,23.89,18.45,12.71,Manobra,75.09,ALTO,Atencao a inclinacao - reduzir velocidade
38.12,22.0,8.0,41.81,17.65,10.64,9.06,Manobra,57.03,ALTO,Atencao a inclinacao - reduzir velocidade
21.86,6.25,3.8,36.5,6.51,3.92,3.7,Colheita,4.37,BAIXO,Seguir rota atual
25.21,7.28,2.05,32.61,9.84,3.2,1.27,Manobra,4.1,BAIXO,Seguir rota atual
46.05,19.95,24.33,34.09,17.68,8.37,11.46,Colheita,73.56,ALTO,Atencao a inclinacao - reduzir velocidade
20.1,4.18,2.78,29.43,7.21,6.75,8.95,Deslocamento,9.25,BAIXO,Seguir rota atual
9.05,14.47,4.31,21.51,4.34,4.43,6.84,Colheita,7.14,BAIXO,Seguir rota atual
33.98,26.04,0.74,35.95,8.24,9.09,10.77,Colheita,66.42,ALTO,Pausa recomendada - risco de fadiga
37.48,14.19,19.59,41.31,16.21,15.71,7.86,Manobra,45.31,MEDIO,Reduzir velocidade
44.08,25.58,3.77,40.96,13.49,11.76,10.7,Deslocamento,76.87,ALTO,Pausa recomendada - risco de fadiga
16.59,5.3,4.1,20.56,4.83,7.04,2.7,Colheita,1.25,BAIXO,Seguir rota atual
44.0,23.39,4.19,37.97,18.58,9.06,9.07,Colheita,36.31,MEDIO,Atencao a inclinacao - reduzir velocidade
23.23,11.13,3.25,23.01,9.84,10.22,6.96,Colheita,12.28,BAIXO,Seguir rota atual
20.6,4.77,1.51,28.61,7.84,9.2,6.3,Deslocamento,6.31,BAIXO,Seguir rota atual
30.98,25.16,10.02,38.85,15.75,17.99,14.0,Colheita,75.66,ALTO,Atencao a inclinacao - reduzir velocidade
43.64,21.45,22.28,42.66,14.04,17.39,10.46,Colheita,63.53,ALTO,Pausa recomendada - risco de fadiga
52.49,29.0,49.22,45.0,19.53,12.33,9.8,Manobra,77.91,ALTO,Atencao a inclinacao - reduzir velocidade
42.64,24.34,21.66,45.02,14.98,14.01,7.82,Deslocamento,76.37,ALTO,Interromper operacao
31.9,22.78,12.25,34.82,11.79,3.45,8.29,Manobra,41.67,MEDIO,Reduzir velocidade
26.23,10.3,5.5,26.25,7.01,3.02,6.4,Deslocamento,1.59,BAIXO,Seguir rota atual
38.37,21.97,5.37,27.39,15.29,6.56,7.27,Manobra,30.45,MEDIO,Atencao a inclinacao - reduzir velocidade
24.85,6.43,7.18,29.09,8.37,0.9,7.42,Manobra,5.26,BAIXO,Seguir rota atual
21.83,6.52,4.43,17.12,7.82,1.91,2.29,Manobra,3.4,BAIXO,Seguir rota atual
42.39,30.0,38.71,45.0,19.86,8.88,9.77,Manobra,75.36,ALTO,Atencao a inclinacao - reduzir velocidade
44.89,19.38,5.26,36.64,13.51,11.35,11.9,Colheita,42.58,MEDIO,Pausa recomendada - risco de fadiga
48.2,23.02,40.87,43.78,18.14,11.13,12.69,Manobra,71.77,ALTO,Atencao a inclinacao - reduzir velocidade
39.71,22.1,11.93,39.31,12.23,14.67,12.07,Colheita,64.15,ALTO,Pausa recomendada - risco de fadiga
28.92,19.21,6.03,38.05,14.75,7.65,8.16,Colheita,37.13,MEDIO,Reduzir velocidade
26.97,20.83,8.35,33.11,12.53,6.36,8.46,Colheita,29.45,MEDIO,Reduzir velocidade
48.39,25.36,1.5,39.32,14.43,4.56,10.64,Colheita,69.68,ALTO,Pausa recomendada - risco de fadiga
47.3,15.51,3.41,40.07,12.81,9.65,9.68,Manobra,66.37,ALTO,Interromper operacao
22.73,2.69,7.14,31.85,6.54,4.87,1.94,Deslocamento,2.97,BAIXO,Seguir rota atual
43.09,23.72,17.5,43.37,14.0,13.69,7.96,Deslocamento,56.8,ALTO,Interromper operacao
19.84,7.3,4.68,24.15,6.74,7.48,4.13,Deslocamento,6.51,BAIXO,Seguir rota atual
8.75,15.0,8.14,19.54,8.38,3.49,5.53,Colheita,6.38,BAIXO,Seguir rota atual
41.77,21.3,11.73,37.93,12.25,9.5,9.87,Colheita,42.37,MEDIO,Reduzir velocidade
14.99,10.73,8.46,23.1,7.48,6.5,5.94,Deslocamento,1.69,BAIXO,Seguir rota atual
50.38,29.23,49.82,39.29,25.48,16.66,10.47,Manobra,76.99,ALTO,Atencao a inclinacao - reduzir velocidade
50.19,29.05,42.91,45.0,30.0,11.64,9.24,Deslocamento,77.27,ALTO,Atencao a inclinacao - reduzir velocidade
51.52,29.16,42.69,45.0,16.65,16.08,10.79,Manobra,76.8,ALTO,Atencao a inclinacao - reduzir velocidade
48.76,27.97,4.17,33.8,14.58,6.84,8.91,Colheita,65.97,ALTO,Interromper operacao
20.18,0.32,3.96,22.55,6.01,9.33,2.49,Colheita,2.27,BAIXO,Seguir rota atual
