N,P,K,temperatura,umidade,ph,chuva,cultura,irrigacao,rendimento
0,0,0,26.1,41.8,4.94,132.0,soja,LIGADA,81.38
1,1,0,23.8,46.4,6.22,5.4,trigo,DESLIGADA,97.46
0,1,1,29.9,62.2,6.18,24.9,milho,LIGADA,122.13
1,1,1,30.1,42.4,6.18,116.1,trigo,LIGADA,135.39
1,1,1,33.6,44.9,5.26,68.9,trigo,LIGADA,110.94
0,0,1,28.2,33.3,6.32,192.2,trigo,LIGADA,119.05
1,0,0,27.5,66.7,5.11,62.2,cafe,LIGADA,116.03
1,0,1,26.6,47.7,5.24,240.8,milho,LIGADA,160.47
1,0,1,27.4,81.4,6.15,184.9,cafe,LIGADA,205.57
0,1,0,25.3,54.1,5.26,198.4,milho,LIGADA,142.19
0,0,1,26.1,59.7,6.09,217.7,trigo,DESLIGADA,163.74
0,1,0,30.9,43.4,7.24,5.4,soja,LIGADA,61.04
0,0,0,26.5,26.1,4.65,17.1,trigo,DESLIGADA,21.08
1,0,1,32.4,34.0,7.23,47.8,cafe,DESLIGADA,78.78
0,0,1,20.2,55.9,7.36,14.2,trigo,LIGADA,87.19
0,1,1,32.3,76.0,6.23,36.4,milho,LIGADA,138.08
1,0,1,24.1,28.8,6.27,100.1,milho,LIGADA,108.67
1,0,0,23.3,36.8,4.69,28.3,cafe,LIGADA,56.57
1,0,1,30.7,55.4,5.48,142.5,trigo,LIGADA,141.21
0,0,0,31.8,57.9,7.39,6.6,milho,LIGADA,64.55
1,0,0,20.9,49.6,5.19,90.2,soja,LIGADA,94.54
0,0,0,33.2,53.7,5.47,82.7,milho,LIGADA,76.6
0,0,1,33.6,77.9,6.87,91.9,soja,LIGADA,137.78
0,1,1,34.5,29.8,4.87,142.2,cafe,DESLIGADA,80.8
1,1,1,29.1,34.3,5.03,223.9,soja,DESLIGADA,146.78
0,0,0,23.6,60.3,6.42,8.4,trigo,DESLIGADA,90.21
0,0,0,23.9,73.3,7.09,213.6,milho,DESLIGADA,166.75
0,0,0,20.8,68.8,5.14,115.7,trigo,DESLIGADA,111.19
0,0,1,23.0,35.2,7.13,225.5,trigo,DESLIGADA,125.89
1,1,0,29.3,86.7,5.74,150.9,soja,LIGADA,194.6
0,0,0,30.6,88.0,6.01,165.2,cafe,LIGADA,164.48
0,1,0,27.3,69.7,4.67,207.8,cafe,DESLIGADA,154.33
1,0,1,28.0,68.5,7.39,44.3,soja,LIGADA,139.36
0,1,0,34.8,24.2,5.65,180.9,cafe,LIGADA,73.77
1,0,0,21.8,26.2,6.99,9.8,milho,DESLIGADA,51.96
1,1,0,21.2,20.6,5.94,196.6,trigo,DESLIGADA,109.56
0,0,0,26.2,40.0,7.33,229.4,milho,DESLIGADA,114.46
1,1,0,28.7,85.2,6.62,32.5,milho,DESLIGADA,162.71
0,0,1,22.7,56.2,5.3,50.8,cafe,DESLIGADA,96.54
0,1,1,29.6,70.0,5.27,218.6,cafe,LIGADA,179.62
0,1,0,22.0,30.0,5.24,184.3,milho,DESLIGADA,96.17
0,0,1,28.4,61.3,7.11,229.7,milho,LIGADA,161.74
0,1,1,21.6,68.0,5.91,144.4,milho,DESLIGADA,162.44
0,1,0,24.5,36.7,7.39,158.8,soja,DESLIGADA,107.01
0,0,1,25.9,71.8,5.04,242.0,cafe,DESLIGADA,178.98
1,0,0,32.8,32.9,6.37,80.9,soja,DESLIGADA,78.46
0,0,0,34.1,85.4,5.63,78.5,soja,DESLIGADA,120.01
1,1,0,28.9,75.6,6.16,65.9,cafe,DESLIGADA,153.29
0,1,0,29.7,50.3,4.77,172.9,trigo,LIGADA,113.16
0,1,0,26.9,61.8,7.36,170.7,soja,DESLIGADA,142.79
0,1,0,24.8,66.9,4.86,247.6,trigo,LIGADA,167.55
1,0,1,20.4,27.8,6.76,106.8,trigo,DESLIGADA,101.42
1,1,0,26.0,69.0,5.66,93.8,trigo,DESLIGADA,153.56
1,0,1,34.6,76.9,7.36,26.2,soja,LIGADA,130.69
1,1,0,21.0,31.2,5.83,194.4,cafe,DESLIGADA,126.08
0,1,1,23.5,37.2,5.32,152.3,soja,LIGADA,114.33
1,0,1,23.7,89.7,6.75,57.2,milho,LIGADA,186.11
1,1,1,29.6,71.6,7.19,212.8,cafe,DESLIGADA,203.76
1,1,0,29.3,73.2,5.28,101.3,soja,LIGADA,151.95
1,0,1,32.8,75.0,5.66,219.6,cafe,DESLIGADA,191.7
0,1,1,30.9,75.8,6.69,32.1,milho,DESLIGADA,139.25
0,1,1,27.0,85.3,6.44,45.9,trigo,DESLIGADA,167.0
0,0,0,33.0,71.1,5.31,52.7,milho,DESLIGADA,93.18
0,1,1,32.7,39.5,4.73,69.4,trigo,LIGADA,73.43
1,0,1,34.1,41.6,5.55,117.0,trigo,LIGADA,104.9
0,0,1,21.2,74.9,4.96,110.3,cafe,LIGADA,135.36
1,0,1,22.8,77.7,6.29,131.9,milho,DESLIGADA,186.2
0,1,0,23.5,59.1,6.0,101.5,cafe,LIGADA,122.1
0,0,1,21.6,65.0,6.06,174.3,trigo,LIGADA,153.71
0,0,0,24.2,73.2,5.4,120.4,cafe,DESLIGADA,131.12
1,1,0,34.8,85.2,5.35,64.0,trigo,DESLIGADA,148.6
1,0,1,33.8,50.1,6.68,186.7,trigo,DESLIGADA,149.4
0,0,1,34.7,85.8,5.29,19.5,cafe,LIGADA,116.63
1,1,0,28.1,84.8,6.08,219.6,trigo,LIGADA,218.84
0,0,0,22.5,47.7,5.14,80.6,milho,DESLIGADA,71.41
1,0,1,20.3,57.8,5.85,138.2,cafe,DESLIGADA,147.96
1,1,1,23.1,36.9,6.09,160.1,milho,LIGADA,149.66
0,1,1,22.4,83.7,5.55,6.4,milho,LIGADA,143.87
0,0,1,29.0,52.6,6.89,204.7,soja,LIGADA,145.63
0,1,0,25.2,67.1,6.93,70.9,milho,DESLIGADA,132.36
1,0,0,20.8,20.2,5.58,61.8,trigo,LIGADA,51.4
1,1,1,34.3,58.1,5.65,170.0,soja,LIGADA,160.35
0,1,1,23.8,63.6,4.55,11.0,cafe,DESLIGADA,106.9
1,0,0,27.3,86.9,4.89,47.0,soja,DESLIGADA,142.53
1,1,0,33.4,48.6,7.11,219.2,soja,LIGADA,151.54
1,0,1,29.1,34.3,5.82,32.2,milho,DESLIGADA,81.75
1,0,0,21.5,67.4,6.24,163.5,trigo,DESLIGADA,161.03
0,0,0,22.5,80.9,6.37,35.1,cafe,DESLIGADA,125.32
0,1,0,25.7,21.6,6.81,28.2,trigo,DESLIGADA,48.74
1,0,0,28.2,81.2,5.74,10.1,soja,DESLIGADA,130.31
1,0,0,23.2,80.2,5.84,12.5,milho,LIGADA,129.53
0,1,1,32.8,29.9,6.44,195.0,trigo,LIGADA,121.03
0,1,1,32.1,31.6,4.84,73.5,milho,DESLIGADA,69.33
1,0,0,27.8,77.5,7.14,101.3,trigo,LIGADA,155.36
1,0,1,22.0,36.7,5.95,200.5,soja,DESLIGADA,137.6
1,0,0,25.1,57.2,7.02,69.1,trigo,LIGADA,122.09
1,1,0,21.1,55.2,5.08,136.4,cafe,LIGADA,131.88
1,1,0,33.6,21.1,5.26,117.8,trigo,DESLIGADA,66.91
0,1,0,25.3,66.9,5.53,26.7,milho,DESLIGADA,111.12
0,0,1,34.6,72.9,5.04,176.7,cafe,DESLIGADA,143.64
1,1,1,24.4,62.5,6.12,196.1,cafe,DESLIGADA,197.82
0,0,1,31.0,57.8,5.11,216.3,milho,LIGADA,140.91
1,0,0,33.5,35.3,6.07,236.3,cafe,LIGADA,120.68
1,0,0,23.2,73.1,7.07,152.3,soja,LIGADA,163.9
0,0,0,23.3,80.9,5.08,174.3,soja,DESLIGADA,150.2
0,1,1,30.1,30.0,6.13,10.2,soja,DESLIGADA,66.42
1,0,1,24.4,48.1,4.9,134.6,cafe,DESLIGADA,128.13
0,0,0,34.7,52.6,5.73,38.5,milho,DESLIGADA,58.81
0,0,1,33.4,22.4,4.58,200.6,trigo,LIGADA,70.94
1,0,0,20.0,50.9,6.88,70.2,milho,DESLIGADA,100.85
0,1,0,22.0,41.3,5.98,161.9,milho,DESLIGADA,110.28
0,0,0,28.4,66.8,7.23,59.1,trigo,DESLIGADA,104.37
1,1,0,30.2,38.6,7.16,242.2,milho,DESLIGADA,146.24
1,0,0,30.9,44.5,4.99,198.1,cafe,DESLIGADA,116.26
0,1,1,29.5,65.0,6.41,45.8,cafe,LIGADA,135.16
1,0,1,26.7,68.8,6.56,158.5,trigo,DESLIGADA,184.63
1,0,0,29.1,60.8,6.88,124.8,cafe,LIGADA,133.88
0,1,1,27.0,22.4,7.33,241.5,trigo,LIGADA,126.09
1,1,0,30.8,50.9,7.43,164.1,milho,DESLIGADA,136.82
0,0,0,32.0,86.0,5.37,179.3,cafe,DESLIGADA,157.23
1,1,1,26.8,83.7,5.87,248.1,milho,DESLIGADA,241.82
0,1,1,28.1,64.0,4.75,41.6,trigo,DESLIGADA,111.28
0,0,1,28.9,44.9,7.33,194.5,soja,DESLIGADA,123.94
1,1,0,33.4,64.9,4.89,47.1,soja,DESLIGADA,112.36
1,1,0,33.6,84.7,6.94,121.6,trigo,LIGADA,176.05
0,1,1,21.2,81.2,5.49,18.9,cafe,DESLIGADA,140.75
0,1,1,24.7,58.0,7.39,146.0,cafe,DESLIGADA,154.52
0,1,1,22.6,88.9,4.84,71.2,milho,LIGADA,161.99
1,1,1,33.9,22.5,5.87,170.1,milho,DESLIGADA,111.42
1,0,1,29.8,83.7,4.85,4.6,cafe,LIGADA,134.53
1,1,1,24.2,56.0,5.2,52.4,trigo,DESLIGADA,135.52
1,0,1,22.5,58.3,5.36,128.3,trigo,DESLIGADA,145.26
0,0,1,32.9,25.1,6.63,156.6,cafe,LIGADA,86.27
0,0,1,29.4,45.6,4.96,65.4,soja,LIGADA,76.74
1,0,0,28.3,28.8,6.93,209.0,milho,LIGADA,115.14
1,1,1,26.6,42.0,5.7,194.1,milho,LIGADA,163.43
0,1,1,30.3,48.5,6.16,35.9,soja,DESLIGADA,101.84
1,0,1,34.3,58.7,5.1,34.6,milho,LIGADA,103.03
0,0,0,32.9,53.1,5.82,200.6,trigo,DESLIGADA,114.87
0,0,0,29.0,33.0,4.61,91.6,milho,LIGADA,44.3
0,0,1,27.5,33.2,5.2,150.0,soja,DESLIGADA,94.2
0,0,0,21.2,30.3,4.64,219.8,cafe,LIGADA,80.47
0,0,1,22.4,64.5,4.92,226.6,soja,LIGADA,159.57
1,1,0,34.2,43.4,7.02,159.0,milho,LIGADA,121.16
0,1,1,31.1,85.9,6.52,236.0,milho,LIGADA,221.21
0,1,1,24.2,47.8,6.32,27.5,milho,DESLIGADA,109.19
1,0,1,34.6,22.8,5.0,39.5,cafe,LIGADA,45.85
1,1,1,33.3,33.5,6.91,226.1,cafe,LIGADA,149.56
0,1,1,23.6,20.1,5.06,160.2,milho,LIGADA,90.13
0,1,1,21.9,26.4,7.48,113.9,soja,DESLIGADA,86.81
1,1,1,30.9,34.7,5.58,100.3,trigo,DESLIGADA,109.3
0,0,0,21.2,78.8,6.76,82.5,trigo,LIGADA,130.23
0,0,1,28.7,51.8,6.35,60.1,trigo,DESLIGADA,103.53
1,1,1,22.7,36.9,6.94,41.7,soja,DESLIGADA,110.98
1,0,0,28.8,55.6,7.39,42.3,milho,LIGADA,96.81
1,0,1,28.7,35.5,5.51,44.4,soja,LIGADA,83.29
0,0,0,23.1,58.3,6.55,4.9,cafe,DESLIGADA,83.52
0,1,0,23.9,85.1,5.59,176.0,trigo,LIGADA,180.33
0,1,0,34.1,21.8,7.48,196.4,milho,LIGADA,77.66
0,0,0,31.2,49.0,6.03,148.5,milho,LIGADA,99.01
0,0,1,26.9,70.8,6.47,185.1,milho,LIGADA,175.57
1,0,0,22.3,35.3,6.77,120.6,cafe,LIGADA,97.49
1,1,0,24.2,47.9,4.52,40.5,milho,DESLIGADA,90.64
0,1,1,25.0,44.4,5.36,22.1,soja,DESLIGADA,89.55
1,1,0,33.5,65.1,6.8,97.3,trigo,LIGADA,143.24
1,1,0,32.8,51.3,4.76,145.8,trigo,LIGADA,117.21
1,1,1,34.9,27.9,6.48,1.8,cafe,LIGADA,77.35
1,1,1,26.4,81.7,6.54,7.4,cafe,DESLIGADA,173.49
1,1,1,20.0,74.5,5.84,139.0,trigo,DESLIGADA,189.53
0,1,1,22.6,79.3,5.97,216.5,milho,DESLIGADA,202.74
1,1,0,21.9,55.9,4.65,160.2,cafe,DESLIGADA,135.51
0,1,1,20.1,38.7,4.53,0.1,soja,DESLIGADA,58.64
1,0,0,31.4,27.8,5.16,166.2,trigo,DESLIGADA,84.68
1,1,0,27.0,64.3,7.41,32.5,soja,DESLIGADA,128.28
1,1,1,20.6,52.1,7.08,87.9,milho,DESLIGADA,143.76
1,0,1,34.8,54.4,5.21,212.4,soja,LIGADA,148.24
0,0,1,30.4,82.9,4.95,229.9,trigo,DESLIGADA,178.92
1,0,1,34.9,20.7,4.68,231.2,trigo,LIGADA,94.77
1,1,1,30.2,76.2,6.79,243.0,cafe,LIGADA,226.32
1,0,1,33.0,70.6,5.44,213.1,cafe,LIGADA,177.11
0,0,1,26.1,36.1,6.73,83.6,trigo,DESLIGADA,90.27
1,1,1,22.2,21.4,5.3,111.0,milho,DESLIGADA,100.4
1,0,1,25.0,89.1,6.11,100.3,soja,LIGADA,195.06
0,0,0,24.3,50.9,7.32,39.8,soja,LIGADA,77.05
1,1,0,26.0,44.7,7.12,240.5,trigo,LIGADA,163.76
0,1,1,28.8,69.2,5.32,177.4,trigo,DESLIGADA,167.26
0,0,0,21.2,82.2,7.27,163.0,trigo,DESLIGADA,157.36
0,0,0,24.9,37.6,5.41,86.6,trigo,LIGADA,71.1
1,0,1,24.8,48.5,6.28,204.4,soja,DESLIGADA,167.03
1,0,0,26.5,54.2,5.9,23.7,milho,DESLIGADA,95.21
0,1,0,33.0,88.3,7.05,196.5,trigo,LIGADA,182.8
0,1,0,21.5,49.8,7.19,19.9,cafe,LIGADA,80.39
0,0,0,25.7,61.4,7.23,101.0,trigo,DESLIGADA,114.24
0,0,0,31.0,58.8,5.57,207.7,cafe,DESLIGADA,127.35
0,1,0,33.2,89.6,4.63,54.1,soja,LIGADA,127.79
0,0,1,34.1,23.6,6.1,19.9,trigo,DESLIGADA,38.37
0,1,1,26.5,61.3,4.58,67.9,soja,LIGADA,120.28
1,1,1,22.3,76.5,6.59,6.1,milho,DESLIGADA,164.1
1,0,0,21.7,44.6,4.78,82.4,milho,DESLIGADA,83.38
1,1,1,27.4,66.7,5.65,209.4,cafe,LIGADA,197.87
0,0,0,34.2,71.3,4.68,59.7,cafe,DESLIGADA,81.62
1,1,1,30.3,81.6,7.01,115.5,cafe,DESLIGADA,190.33
0,1,1,20.6,31.5,5.57,213.5,trigo,LIGADA,123.34
1,0,0,33.0,86.7,4.66,23.0,soja,DESLIGADA,119.87
0,0,1,32.2,53.3,4.74,143.7,cafe,DESLIGADA,104.54
1,1,1,33.9,51.4,7.05,79.7,trigo,DESLIGADA,128.61
0,0,1,21.4,74.2,5.36,109.0,milho,DESLIGADA,140.12
1,0,0,23.6,73.2,7.44,210.6,cafe,DESLIGADA,178.9
1,1,0,28.3,51.2,5.01,207.7,cafe,LIGADA,150.63
0,1,1,25.3,58.8,6.4,233.0,milho,DESLIGADA,191.3
1,1,0,20.3,49.3,4.67,136.9,trigo,DESLIGADA,115.66
1,0,0,32.0,44.7,5.41,136.9,milho,LIGADA,100.04
1,1,1,25.0,43.5,7.13,68.7,milho,LIGADA,128.3
1,0,0,28.6,22.7,6.2,14.1,trigo,LIGADA,49.48
1,1,1,24.7,85.7,5.87,194.8,soja,DESLIGADA,231.83
1,1,0,29.3,81.5,7.11,158.2,soja,LIGADA,187.79
0,1,0,27.5,35.2,5.49,75.6,soja,DESLIGADA,75.36
1,1,1,28.3,35.4,7.33,214.8,soja,DESLIGADA,150.98
0,1,0,20.7,45.8,6.92,22.5,milho,LIGADA,78.81
1,0,1,33.7,21.4,6.77,169.1,cafe,LIGADA,98.19
0,0,0,27.2,89.9,6.8,21.5,soja,DESLIGADA,133.3
1,1,0,21.9,80.6,5.38,26.8,soja,LIGADA,142.3
0,0,1,25.2,37.9,6.01,54.1,soja,DESLIGADA,85.8
1,0,0,32.1,42.7,6.62,71.2,cafe,DESLIGADA,88.77
1,0,0,22.0,53.3,5.15,185.2,cafe,LIGADA,135.31
1,0,1,33.5,26.9,5.8,170.3,milho,LIGADA,102.04
1,0,0,28.3,85.0,6.19,192.2,soja,LIGADA,191.84
1,1,0,28.3,87.9,5.58,128.8,milho,DESLIGADA,189.85
0,0,1,33.6,20.4,7.42,141.5,cafe,LIGADA,61.81
0,0,0,21.8,71.8,6.01,166.9,trigo,LIGADA,142.49
1,1,1,22.7,43.5,6.06,11.3,cafe,DESLIGADA,112.76
0,1,0,26.3,83.4,5.81,213.7,milho,DESLIGADA,191.33
0,0,1,25.1,26.4,4.7,236.0,cafe,DESLIGADA,107.6
1,1,1,26.5,32.9,4.9,27.0,milho,LIGADA,85.25
0,0,0,32.2,81.4,7.34,47.5,trigo,LIGADA,110.87
1,1,0,29.7,88.0,5.03,215.8,cafe,LIGADA,201.7
0,0,0,20.1,79.9,7.49,66.2,soja,DESLIGADA,120.03
1,0,1,32.6,37.0,5.94,136.9,cafe,DESLIGADA,113.65
1,1,1,29.2,51.5,7.2,112.1,trigo,DESLIGADA,147.08
0,1,1,30.0,39.2,6.18,211.4,trigo,LIGADA,142.38
0,0,0,32.4,38.2,6.24,124.7,trigo,DESLIGADA,76.79
0,0,0,24.6,69.6,6.36,234.5,cafe,DESLIGADA,169.27
0,1,0,21.4,81.7,7.4,48.8,trigo,LIGADA,131.19
0,1,0,23.8,30.4,4.93,148.6,soja,DESLIGADA,83.94
1,0,0,22.9,54.7,5.48,232.0,trigo,DESLIGADA,155.21
1,1,1,29.3,34.9,5.99,171.3,trigo,DESLIGADA,143.02
1,0,0,30.5,33.6,6.38,46.4,milho,LIGADA,72.88
1,0,1,24.1,70.7,7.07,32.0,cafe,LIGADA,147.01
1,0,1,34.7,82.1,6.94,135.1,cafe,DESLIGADA,179.0
0,0,1,34.6,75.1,5.83,54.7,milho,DESLIGADA,121.82
1,1,1,27.3,83.2,6.9,39.2,cafe,LIGADA,182.16
1,0,0,21.6,24.3,7.14,119.9,milho,LIGADA,75.94
1,1,1,32.9,61.1,6.73,156.4,trigo,DESLIGADA,173.01
1,0,1,23.6,83.0,4.94,130.7,soja,LIGADA,177.19
1,1,0,31.5,33.1,6.29,216.3,cafe,DESLIGADA,134.02
1,1,0,28.2,22.6,7.02,195.2,milho,DESLIGADA,112.82
0,0,1,29.0,51.4,4.55,128.4,trigo,LIGADA,100.22
1,1,0,28.3,26.4,4.98,175.4,milho,DESLIGADA,101.38
1,0,1,33.1,65.4,6.17,162.5,cafe,DESLIGADA,164.69
0,1,1,25.0,46.6,4.55,128.9,milho,LIGADA,116.17
0,1,0,23.3,43.5,7.45,196.4,cafe,LIGADA,121.37
0,1,0,25.6,77.5,5.07,208.1,soja,DESLIGADA,174.32
0,1,1,21.3,36.7,4.84,1.1,soja,LIGADA,58.06
0,0,1,29.0,26.8,5.28,59.7,cafe,DESLIGADA,54.47
0,0,1,25.7,60.1,5.06,161.0,milho,LIGADA,139.77
1,0,0,34.3,35.8,4.83,92.4,trigo,DESLIGADA,64.78
1,0,1,32.1,30.4,5.56,231.1,trigo,DESLIGADA,124.45
0,1,0,29.1,73.9,6.04,162.3,milho,DESLIGADA,158.82
1,0,0,33.1,31.7,5.78,239.5,milho,LIGADA,112.56
0,1,0,22.8,82.1,6.73,134.3,cafe,LIGADA,173.28
1,1,0,27.7,40.5,6.38,85.9,trigo,LIGADA,112.68
0,0,0,28.1,25.3,6.72,136.1,milho,DESLIGADA,70.94
0,1,1,34.8,22.4,6.89,28.4,trigo,DESLIGADA,50.84
1,0,0,28.6,80.7,6.09,79.5,trigo,LIGADA,153.78
1,0,1,33.9,34.8,6.14,29.1,trigo,DESLIGADA,77.81
1,1,1,23.2,36.5,7.47,108.9,trigo,DESLIGADA,122.18
1,0,0,20.0,48.0,5.71,243.8,milho,LIGADA,145.66
1,1,1,30.3,40.1,4.94,122.3,trigo,DESLIGADA,118.52
1,0,1,32.8,24.7,6.78,184.2,soja,LIGADA,113.35
0,1,1,34.6,80.7,7.34,120.0,cafe,DESLIGADA,159.77
1,1,1,21.0,57.5,4.55,162.6,milho,DESLIGADA,154.63
1,0,0,23.9,44.7,6.7,168.4,soja,DESLIGADA,130.97
0,1,0,23.9,80.3,6.9,196.9,milho,DESLIGADA,186.52
1,0,1,20.6,20.1,6.46,136.1,soja,DESLIGADA,101.7
0,0,1,21.0,58.2,4.55,40.1,cafe,DESLIGADA,84.93
1,1,0,24.6,70.8,5.59,218.3,cafe,LIGADA,195.97
0,1,1,32.3,80.7,6.99,19.0,milho,LIGADA,140.27
0,0,1,20.2,86.5,5.0,54.2,trigo,DESLIGADA,134.41
1,0,1,30.6,80.0,5.2,182.5,milho,DESLIGADA,186.95
0,1,0,27.1,63.5,6.29,13.8,trigo,LIGADA,107.67
0,0,0,24.1,79.0,6.9,81.8,cafe,LIGADA,138.44
1,1,1,21.7,46.2,7.4,110.3,milho,DESLIGADA,138.99
0,1,0,20.7,81.7,5.96,209.0,trigo,DESLIGADA,185.17
1,1,1,29.5,64.4,4.88,199.1,cafe,LIGADA,178.89
0,0,1,29.1,29.8,5.93,122.7,soja,DESLIGADA,85.47
0,1,0,33.5,36.6,6.83,235.9,milho,LIGADA,119.71
1,0,1,29.8,81.1,7.48,21.4,soja,LIGADA,141.71
0,1,0,22.2,40.0,6.98,93.7,soja,LIGADA,91.75
0,1,1,29.0,46.7,6.51,25.0,cafe,DESLIGADA,100.43
0,1,0,30.4,52.8,6.31,137.7,milho,DESLIGADA,123.43
1,1,1,30.5,47.0,6.57,12.6,milho,DESLIGADA,117.44
1,0,0,27.4,20.4,7.28,215.1,cafe,LIGADA,98.97
1,1,0,21.4,37.0,7.28,178.2,cafe,DESLIGADA,126.4
0,0,0,24.5,40.1,5.81,209.0,trigo,DESLIGADA,110.57
1,1,1,34.4,20.9,7.49,43.0,milho,DESLIGADA,63.57
1,1,0,32.8,60.6,6.52,181.4,cafe,LIGADA,165.48
0,1,1,22.3,79.0,5.86,148.3,cafe,LIGADA,180.91
0,0,0,31.3,35.8,5.33,204.9,cafe,LIGADA,90.53
1,0,0,32.3,40.1,5.2,78.6,milho,LIGADA,72.53
1,0,1,29.7,48.6,6.05,35.0,cafe,DESLIGADA,103.6
1,0,1,28.4,26.2,5.86,229.8,trigo,DESLIGADA,133.76
0,1,0,34.6,81.1,6.3,33.6,trigo,DESLIGADA,124.13
0,1,0,28.9,49.8,7.34,165.2,soja,LIGADA,118.38
1,0,1,32.1,37.5,5.09,245.2,milho,DESLIGADA,133.69
0,0,1,25.8,70.4,5.34,176.0,milho,DESLIGADA,157.88
1,1,1,21.8,37.6,6.92,230.1,soja,DESLIGADA,166.99
1,0,0,34.2,78.1,5.15,144.3,cafe,DESLIGADA,146.84
1,1,1,34.5,62.2,6.09,35.3,trigo,LIGADA,134.97
0,1,0,26.4,49.4,6.25,159.5,milho,DESLIGADA,128.15
1,0,1,23.6,20.4,7.32,94.8,soja,LIGADA,83.4
0,0,1,20.7,59.5,7.1,81.1,trigo,DESLIGADA,113.78
0,0,0,32.9,68.8,5.89,30.3,cafe,DESLIGADA,90.17
1,1,1,20.1,68.8,6.19,202.2,trigo,LIGADA,200.34
1,1,1,26.1,29.0,6.38,43.0,cafe,LIGADA,107.76
1,1,1,34.6,79.0,6.5,237.8,cafe,DESLIGADA,224.64
1,0,1,27.7,83.7,6.7,62.3,milho,DESLIGADA,176.44
0,0,1,31.4,44.7,6.06,170.0,milho,LIGADA,116.97
1,1,1,22.0,55.5,6.49,68.3,soja,LIGADA,151.62
1,1,0,30.9,80.5,7.22,153.0,milho,LIGADA,182.21
0,1,0,30.2,61.5,6.59,147.4,cafe,DESLIGADA,139.99
